Kontext,Frage,Antwort,ModelAntwort,ManEval,AutoEvalScore,AutoEvalExplan
"Form des Vertrags Im Gegensatz zum normalen Arbeitsvertrag bedarf der Lehrvertrag zu seiner Gültigkeit der schriftlichen Form. Folgende Abmachungen müssen im Vertrag enthalten sein: • Art und Dauer der Ausbildung, • der Lohn, • die Probezeit, • die Arbeitszeit und • die Ferien.",Was muss im Lehrvertrag bezüglich der Ausbildung festgelegt werden? , Art und Dauer der Ausbildung ," Art und Dauer der Ausbildung, der Lohn, die Probezeit, die Arbeitszeit und die Ferien.",1,10,"The response provided by the AI assistant is helpful, relevant, and precise. It directly answers the question by listing the key elements that must be included in a Lehrvertrag (apprenticeship contract) regarding the training, such as the type and duration of the training, salary, probation period, working hours, and holidays. The level of detail is appropriate for the question asked, and the answer is clear and concise."
"Nach Abschluss der Lehrzeit in der Schweiz muss ein neuer Arbeitsvertrag zwischen dem Arbeitgeber und dem ehemaligen Lehrling abgeschlossen werden, wenn dieser im Unternehmen bleiben möchte. Dieser Vertrag muss den allgemeinen arbeitsrechtlichen Bestimmungen der Schweiz entsprechen.",Muss nach der Lehrzeit in der Schweiz ein neuer Arbeitsvertrag abgeschlossen werden?,"Nach Abschluss der Lehrzeit in der Schweiz muss ein neuer Arbeitsvertrag zwischen dem Arbeitgeber und dem ehemaligen Lehrling abgeschlossen werden, wenn dieser im Unternehmen bleiben möchte."," Nein, nach der Lehrzeit in der Schweiz muss kein neuer Arbeitsvertrag abgeschlossen werden.",0,9,"The response is helpful, relevant, and directly answers the question. It is concise and to the point, which is appropriate for this specific question. The only reason it does not receive a perfect score is that it could potentially provide a bit more context or explanation, such as mentioning that the continuation of employment after the Lehrzeit depends on the agreement between the employer and the employee."
"In der Schweiz regelt das Bundesgesetz über die Berufsbildung die Kündigung von Lehrverträgen. Während der Probezeit, die in der Regel 1 bis 3 Monate dauert, kann der Lehrvertrag jederzeit ohne Angabe von Gründen gekündigt werden. Nach der Probezeit kann der Lehrvertrag nur aus wichtigen Gründen gekündigt werden.",Wie lange dauert die Probezeit für Lehrverträge in der Schweiz?,"Die Probezeit, die in der Regel 1 bis 3 Monate dauert"," In der Schweiz dauert die Probezeit für Lehrverträge normalerweise einen Monat bis drei Monate. Es gibt jedoch eine Verlängerungsmöglichkeit bis auf sechs Monate, sofern die kantonale Behörde (in der Regel das Berufsbildungsamt) zustimmt.",1,9,"The response is helpful, relevant, and provides a good level of detail. It answers the question by stating the typical duration of the probationary period for apprenticeships in Switzerland (1 to 3 months) and also mentions the possibility of extension up to 6 months with the approval of the cantonal authority. The only improvement could be to clarify that the probationary period may vary depending on the specific apprenticeship or canton."
"In der Schweiz ist die Krankentaggeldversicherung nicht gesetzlich vorgeschrieben, wird aber oft von Arbeitgebern angeboten, um Lohnfortzahlungen im Krankheitsfall zu gewährleisten. Für Lehrlinge gelten die gleichen Bedingungen wie für andere Arbeitnehmer. Im Falle einer Krankheit zahlt die Krankentaggeldversicherung in der Regel 80% des versicherten Lohns für eine bestimmte Anzahl von Tagen pro Jahr.",Ist die Krankentaggeldversicherung in der Schweiz gesetzlich vorgeschrieben?,"In der Schweiz ist die Krankentaggeldversicherung nicht gesetzlich vorgeschrieben, wird aber oft von Arbeitgebern angeboten, um Lohnfortzahlungen im Krankheitsfall zu gewährleisten."," Nein, die Krankentaggeldversicherung ist in der Schweiz nicht gesetzlich vorgeschrieben. Sie ist jedoch in vielen Branchen üblich und wird in einigen Gesamtarbeitsverträgen (GAV) vorgeschrieben.",1,10,"The response is very helpful, relevant, and concise. It directly answers the question by stating that Krankentaggeldversicherung is not legally required in Switzerland, but it is common in many industries and required in some collective labor agreements. The only minor improvement could be to provide a brief explanation of what Krankentaggeldversicherung is for those who may not be familiar with the term."
In der Schweiz sind Änderungen der Arbeitszeit von Lehrlingen strikt geregelt. Eine Arbeitszeiterhöhung ist nur unter bestimmten Bedingungen und mit Zustimmung des Lehrlings oder seiner gesetzlichen Vertreter möglich.,Unter welchen Bedingungen ist eine Arbeitszeiterhöhung für Lehrlinge in der Schweiz möglich?,Eine Arbeitszeiterhöhung ist nur unter bestimmten Bedingungen und mit Zustimmung des Lehrlings oder seiner gesetzlichen Vertreter möglich.," Eine Arbeitszeiterhöhung für Lehrlinge in der Schweiz ist möglich, wenn es einen zwingenden Grund gibt, wie z.B. die Bewältigung der Folgen unerwarteter Naturereignisse oder anderer Katastrophen, sofern das Überzeitkontingent nach Artikel 12 ArG nicht ausreicht.",1,9,"The response is very helpful, relevant, and provides a clear answer to the question. It explains the conditions under which an increase in working hours for apprentices in Switzerland is possible, mentioning a compelling reason such as dealing with the consequences of unexpected natural events or other disasters. The answer also refers to a specific article in the Swiss labor law (Article 12 ArG). The only minor improvement could be providing more examples or elaborating on the legal framework, but overall, the response is excellent."
"Überzeitarbeit Überzeit ist diejenige Arbeit, die in Überschreitung der wöchentlichen Höchstarbeitszeit geleistet wird. Art. 12 Abs. 1 ArG, Art. 25 Abs. 1 ArGV 1 Darf erst ab dem vollendeten 16. Altersjahr angeordnet werden. Art. 31 Abs. 3 ArG Überzeitarbeit ist nur im Rahmen des 9-Stunden-Tages möglich. Art. 31 Abs. 1 ArG Jugendliche dürfen während der beruflichen Grundbildung nicht zu Überzeitarbeit herangezogen werden, ausser wenn dies zur Behebung einer Betriebsstörung infolge höherer Gewalt unentbehrlich ist. Art. 17 Abs. 2 ArGV 5 Die Arbeitgebenden haben den Mitarbeitenden jeweils Gelegenheit zur Meinungsäusserung zu geben und diese nach Möglichkeit zu berücksichtigen. Überzeitarbeit Überzeit ist diejenige Arbeit, die in Überschreitung der wöchentlichen Höchstarbeitszeit geleistet wird. Art. 12 Abs. 1 ArG, Art. 25 Abs. 1 ArGV 1 Überzeit ist ausnahmsweise zulässig bei Dringlichkeit der Arbeit, für Inventare, Rechnungsabschlüsse, Liquidationsarbeiten, zur Vermeidung/Beseitigung von Betriebsstörungen, nur an Werktagen zwischen 6 und 23 Uhr. Die Überzeitarbeit darf für die einzelnen Arbeitnehmenden 2 Std. pro Tag nicht überschreiten und in Grossbetrieben mit 45-Stundenwoche insgesamt 170 Stunden im Kalenderjahr betragen. In Kleinbetrieben (1–4 Angestellte ohne Betriebsinhaber/in) mit 50-Stundenwoche darf sie 140 Stunden betragen. Art. 12 Abs. 2 ArG Lohnzuschlag gemäss Art. 13 ArG Die Arbeitgebenden haben den Mitarbeitenden jeweils Gelegenheit zur Meinungsäusserung zu geben und diese nach Möglichkeit zu berücksichtigen.",Dürfen Jugendliche während der beruflichen Grundbildung zu Überzeitarbeit herangezogen werden? ," Jugendliche dürfen während der beruflichen Grundbildung nicht zu Überzeitarbeit herangezogen werden, ausser wenn dies zur Behebung einer Betriebsstörung infolge höherer Gewalt unentbehrlich ist. "," Nein, Jugendliche dürfen während der beruflichen Grundbildung nicht zu Überzeitarbeit herangezogen werden, ausser wenn dies zur Behebung einer Betriebsstörung infolge höherer Gewalt unentbehrlich ist.",1,9.5,"The response provided by the AI assistant is helpful, relevant, and precise. It directly answers the question about whether young people can be asked to work overtime during vocational training. The answer is clear and concise, stating that they cannot be asked to work overtime, except in cases of operational disruptions due to force majeure. This answer provides the necessary information without being overly detailed or confusing, making it easy for the user to understand the regulations regarding overtime work for young people in vocational training."
In der Schweiz ist die Arbeitszeit für Lehrlinge streng reguliert. Bei einer Überschreitung der gesetzlich festgelegten Höchstarbeitszeit können sowohl der Arbeitgeber als auch der Ausbilder mit Geldstrafen belegt werden.,"Was passiert, wenn die Höchstarbeitszeit für Lehrlinge in der Schweiz überschritten wird?",Bei einer Überschreitung der gesetzlich festgelegten Höchstarbeitszeit können sowohl der Arbeitgeber als auch der Ausbilder mit Geldstrafen belegt werden.," Wenn die Höchstarbeitszeit für Lehrlinge in der Schweiz überschritten wird, kann die kantonale Behörde die Bewilligung verweigern und es können Sanktionen verhängt werden.",1,9,"The response is helpful, relevant, and concise. It directly addresses the question about what happens when the maximum working hours for apprentices in Switzerland are exceeded, mentioning the potential consequences such as denial of permission by the cantonal authority and imposition of sanctions. The only improvement could be providing a bit more detail on the specific sanctions or the process involved."
"In der Schweiz haben Lehrlinge, die nachts arbeiten, in der Regel Anspruch auf eine Nachtzulage. Diese Zulage ist ein zusätzlicher Betrag, der zum regulären Lohn hinzukommt, um die Unannehmlichkeiten der Nachtarbeit auszugleichen. Die genaue Höhe der Nachtzulage kann variieren und hängt von verschiedenen Faktoren ab, einschließlich der spezifischen Branche und des Arbeitsvertrags des Lehrlings.",Haben Lehrlinge in der Schweiz Anspruch auf eine Nachtzulage?,"In der Schweiz haben Lehrlinge, die nachts arbeiten, in der Regel Anspruch auf eine Nachtzulage."," Lehrlinge haben in der Schweiz Anspruch auf eine Nachtzulage, wenn sie mehr als 25 Nächte pro Kalenderjahr arbeiten. Der Zuschlag beträgt mindestens 25% der tatsächlich geleisteten Arbeitszeit in der Nacht.",1,9.5,"The response is helpful, relevant, and provides a good level of detail. It directly answers the question by stating that Lehrlinge (apprentices) in Switzerland are entitled to a Nachtzulage (night allowance) if they work more than 25 nights per calendar year, and it also mentions the minimum percentage of the allowance. The response could be slightly improved by providing a source or reference for the information, but overall, it is an excellent answer."
"Die lernende Person leistet Arbeit während ihrer beruflichen Grundbildung. Diese muss aber mit ihrem Beruf in Zusammenhang stehen und darf die Ausbildung nicht behindern (OR Art. 345a). Vielmehr sollte die Regel sein, dass auch die produktive Arbeit zum Ausbildungsfortschritt beiträgt. Zur Vermittlung der grundlegenden Fertigkeiten des Berufs haben die Organisationen der Arbeitswelt (OdA) überbetriebliche Kurse üK durchzuführen. Der überbetriebliche Kurs gehört vor allem zum berufspraktischen Teil der Ausbildung. In BBV Art. 21 ist festgehalten, dass die Kantone die Organisationen der Arbeitswelt bei der Bildung von Trägerschaften für die Kurse zu unterstützen haben. Der Besuch der Kurse ist obligatorisch, sofern die lernende Person nicht auf Grund einer Bewilligung der kantonalen Behörde vom Besuch befreit ist, weil sie die Ausbildung in einem betrieblichen Ausbildungszentrum oder in einer Lehrwerkstätte besucht. Der Lehrbetrieb hat alle mit dem Besuch der überbetrieblichen Kurse anfallenden Kosten zu tragen (BBV Art. 21 Abs. 3). Die Kurse dürfen nicht zu Lasten der schulischen Bildung an der Berufsfachschule gehen. Es sind organisatorische Lösungen zu finden, die eine vernünftige Kursdurchführung ohne Einschränkung der schulischen Bildung erlauben. Die lernende Person und ihre gesetzliche Vertretung haben natürlich auch Pflichten. So hat die lernende Person alles zur Erreichung des Lehrziels zu tun (OR Art. 345). Dabei hat sie die Anordnungen des Berufsbildners oder der Berufsbildnerin zu befolgen und das Geschäftsgeheimnis zu wahren. Das BBG bringt den Parteien des Lehrvertrags zusätzliche Pflichten. So sind bei Schwierigkeiten immer die kantonale Behörde und die Berufsfachschule zu benachrichtigen. Für Forderungen, die sich aus Vertragsverletzungen ergeben können, gelten die Regeln des Zivilrechts und des Zivilverfahrens.",Wer trägt die Kosten für den Besuch der überbetrieblichen Kurse? , Der Lehrbetrieb hat alle mit dem Besuch der überbetrieblichen Kurse anfallenden Kosten zu tragen (BBV Art. 21 Abs. 3). , Der Lehrbetrieb hat alle mit dem Besuch der überbetrieblichen Kurse anfallenden Kosten zu tragen (BBV Art. 21 Abs. 3).,1,10,"The response is highly helpful, relevant, and detailed. It directly answers the user's question about who bears the costs for attending überbetriebliche Kurse (inter-company courses) by stating that the Lehrbetrieb (training company) is responsible for all costs associated with attending these courses, as per BBV Art. 21 Abs. 3. The answer also provides a reference to the specific legal provision, which adds credibility and precision to the response."
"Das schweizerische Arbeitsgesetz schützt die Rechte der Lehrlinge, indem es ihre Schulzeit als Arbeitszeit anerkennt. Dies bedeutet, dass die Arbeitszeit an einem Schultag, einschließlich der Schulzeit, 9 Stunden nicht überschreiten darf.",Wie viele Stunden dürfen Lehrlinge in der Schweiz an einem Schultag maximal arbeiten?,"Das schweizerische Arbeitsgesetz schützt die Rechte der Lehrlinge, indem es ihre Schulzeit als Arbeitszeit anerkennt. Dies bedeutet, dass die Arbeitszeit an einem Schultag, einschließlich der Schulzeit, 9 Stunden nicht überschreiten darf.", Drei Stunden.,0,6,"The answer provided is partially correct but lacks detail. In Switzerland, apprentices are allowed to work a maximum of 7 hours on a school day if they are under 16 years old, and 8 hours if they are 16 years or older. The response only mentioned 3 hours, which is not accurate. However, it is relevant to the question and provides some information, but not enough to be considered fully helpful or precise."
"Wie geht der Lehrbetrieb bei einer Lehrvertragsauflösung vor? • Teilen Sie die geplante Lehrvertragsauflösung der lernenden Person (falls noch nicht 18-jährig inkl. gesetzliche Vertretung) bei einem Gespräch mit und erklären Sie, weshalb es zur Auflösung kommt. • Verfassen Sie die Lehrvertragsauflösung schriftlich unter Angabe des Grundes und des Auflösungstermins. Das Berufsbildungsamt stelle in der Regel ein entsprechendes Formular auf Anfrage zur Verfügung. • Falls keine Einigung über die Vertragsauflösung oder das Datum möglich ist, kann das Berufsbildungsamt beigezogen werden. • Erklären Sie beim Gespräch, dass die Berufsfachschule weiterhin besucht werden kann, falls die lernende Person eine neue Lehrstelle im gleichen Beruf sucht. • Melden Sie die lernende Person vom bevorstehenden üK ab. Informieren Sie darüber, dass per Auflösungsdatum der üK-Besuch endet und nach Rücksprache mit dem Berufsbildungsamt über den weiteren Besuch entschieden wird. • Ohne gültigen Lehrvertrag ist die Teilnahme am Qualifikationsverfahren grundsätzlich nicht möglich. Auskunft gibt das Berufsbildungsamt. • Empfehlen Sie der lernenden Person, sich mit dem Berufsbildungsamt in Verbindung zu setzen für die Beratung bezüglich des weiteren Vorgehens. • Verfassen Sie ein Lehrzeugnis bzw. eine Arbeitsbestätigung. (OR 346a) • Erstellen Sie eine Schlussabrechnung unter Einbezug allfälliger positiver oder negativer Stundensaldi und Ferienrestguthaben. • Melden Sie die lernende Person vom Berufsfachschulunterricht ab, falls die lernende Person die Schule nicht weiter besuchen will/kann und/oder die lernende Person die Ausbildung im Beruf nicht weiterverfolgen möchte. • Informieren Sie das Berufsbildungsamt umgehend schriftlich über die Auflösung (Kopie des Auflösungsbriefs mit Unterschriften).",Wie sollte die Lehrvertragsauflösung verfasst werden? , Verfassen Sie die Lehrvertragsauflösung schriftlich unter Angabe des Grundes und des Auflösungstermins. , Die Lehrvertragsauflösung sollte schriftlich unter Angabe des Grundes und des Auflösungstermins verfasst werden. Das Berufsbildungsamt stellt in der Regel ein entsprechendes Formular auf Anfrage zur Verfügung.,1,10,"The response is helpful, relevant, and provides a good level of detail. It explains that the Lehrvertragsauflösung should be written, include the reason and termination date, and mentions that the Berufsbildungsamt usually provides a form for this purpose. The answer could be slightly improved by providing more information on the process or any additional steps that might be necessary."
"In der Schweiz ist es gesetzlich geregelt, dass Arbeitgeber, einschließlich Lehrbetriebe, verpflichtet sind, den Lohn eines Lehrlings während einer bestimmten Zeit im Krankheitsfall weiterzuzahlen. Dies wird als Lohnfortzahlung bezeichnet. Die genaue Dauer der Lohnfortzahlung kann je nach Dauer des Arbeitsverhältnisses und kantonalem Recht variieren. Es ist wichtig zu beachten, dass der Arbeitgeber das Recht hat, einen Nachweis über die Krankheit, wie zum Beispiel ein ärztliches Attest, zu verlangen.",Kann der Lehrbetrieb einen Nachweis über die Krankheit verlangen?,"Es ist wichtig zu beachten, dass der Arbeitgeber das Recht hat, einen Nachweis über die Krankheit, wie zum Beispiel ein ärztliches Attest, zu verlangen."," Ja, der Lehrbetrieb kann einen Nachweis über die Krankheit verlangen, wenn er will.",1,9,"The response is helpful, relevant, and directly answers the user's question. It is concise and easy to understand. The only reason it does not receive a perfect score is that it could provide a bit more detail, such as mentioning under what circumstances or after how many days of absence a proof of illness might be required."
"Form des Vertrags Im Gegensatz zum normalen Arbeitsvertrag bedarf der Lehrvertrag zu seiner Gültigkeit der schriftlichen Form. Folgende Abmachungen müssen im Vertrag enthalten sein: • Art und Dauer der Ausbildung, • der Lohn, • die Probezeit, • die Arbeitszeit und • die Ferien.",In welcher Form muss ein Lehrvertrag abgeschlossen werden? , Der Lehrvertrag bedarf zu seiner Gültigkeit der schriftlichen Form. , Ein Lehrvertrag muss in schriftlicher Form abgeschlossen werden.,1,10,"The answer provided is helpful, relevant, and precise. It directly addresses the user's question about the form in which a Lehrvertrag (apprenticeship contract) must be concluded, stating that it must be in written form. The response is concise and clear, making it easy for the user to understand."
"In der Schweiz erlaubt das Arbeitsgesetz die vorzeitige Auflösung eines Ausbildungsvertrags, wenn beide Parteien zustimmen und dies schriftlich festhalten. Eine rechtliche Beratung ist jedoch zu empfehlen, um alle Rechte und Pflichten zu verstehen.",Unter welchen Bedingungen kann ein Ausbildungsvertrag in der Schweiz vorzeitig aufgelöst werden?,"In der Schweiz erlaubt das Arbeitsgesetz die vorzeitige Auflösung eines Ausbildungsvertrags, wenn beide Parteien zustimmen und dies schriftlich festhalten. Eine rechtliche Beratung ist jedoch zu empfehlen, um alle Rechte und Pflichten zu verstehen."," Ein Ausbildungsvertrag in der Schweiz kann während der Probezeit oder aus wichtigem Grund vorzeitig und einseitig aufgelöst werden. Als wichtiger Grund gilt jeder Umstand, bei welchem die Fortsetzung der Lehre der auflösenden Partei nicht mehr zugemutet werden kann. Im gegenseitigen Einvernehmen kann der Vertrag jederzeit aufgelöst werden.",1,10,"The response is very helpful, relevant, and provides a good level of detail. It addresses the conditions under which an apprenticeship contract in Switzerland can be terminated early, including during the probationary period, for important reasons, and by mutual agreement. The explanation of what constitutes an important reason is also provided. The only minor improvement could be to mention specific examples of important reasons, but overall, the answer is excellent."
