Kontext,Frage,Antwort,ModelAntwort,ManEval,AutoEvalScore,AutoEvalExplan
"Form des Vertrags Im Gegensatz zum normalen Arbeitsvertrag bedarf der Lehrvertrag zu seiner Gültigkeit der schriftlichen Form. Folgende Abmachungen müssen im Vertrag enthalten sein: • Art und Dauer der Ausbildung, • der Lohn, • die Probezeit, • die Arbeitszeit und • die Ferien.",Was muss im Lehrvertrag bezüglich der Ausbildung festgelegt werden? , Art und Dauer der Ausbildung ,"Art und Dauer der Ausbildung,",1,7.5,"The response is helpful and relevant, as it addresses the question by mentioning the type and duration of the training. However, it lacks details and could be more comprehensive by including additional elements that should be specified in a training contract, such as responsibilities of the parties involved, remuneration, and working hours."
"Nach Abschluss der Lehrzeit in der Schweiz muss ein neuer Arbeitsvertrag zwischen dem Arbeitgeber und dem ehemaligen Lehrling abgeschlossen werden, wenn dieser im Unternehmen bleiben möchte. Dieser Vertrag muss den allgemeinen arbeitsrechtlichen Bestimmungen der Schweiz entsprechen.",Muss nach der Lehrzeit in der Schweiz ein neuer Arbeitsvertrag abgeschlossen werden?,"Nach Abschluss der Lehrzeit in der Schweiz muss ein neuer Arbeitsvertrag zwischen dem Arbeitgeber und dem ehemaligen Lehrling abgeschlossen werden, wenn dieser im Unternehmen bleiben möchte.",Der Lehrbetrieb muss Ihre geleistete Arbeit bezahlen.,0,4.0,"The response provided by the AI assistant is not directly answering the question about whether a new employment contract is needed after completing an apprenticeship in Switzerland. Instead, it focuses on the payment for the work done during the apprenticeship. The answer is somewhat relevant, as it is related to the topic of apprenticeships, but it lacks the necessary details and does not address the main concern of the user."
"In der Schweiz regelt das Bundesgesetz über die Berufsbildung die Kündigung von Lehrverträgen. Während der Probezeit, die in der Regel 1 bis 3 Monate dauert, kann der Lehrvertrag jederzeit ohne Angabe von Gründen gekündigt werden. Nach der Probezeit kann der Lehrvertrag nur aus wichtigen Gründen gekündigt werden.",Wie lange dauert die Probezeit für Lehrverträge in der Schweiz?,"Die Probezeit, die in der Regel 1 bis 3 Monate dauert","Insgesamt darf die Arbeitszeit 40 Stunden pro Woche nicht 
überschreiten.",0,3.0,"The response provided is not relevant to the question asked. The question is about the duration of the probationary period for apprenticeship contracts in Switzerland, while the answer talks about the maximum working hours per week. The answer does not address the main concern of the question, which is the length of the probationary period."
"In der Schweiz ist die Krankentaggeldversicherung nicht gesetzlich vorgeschrieben, wird aber oft von Arbeitgebern angeboten, um Lohnfortzahlungen im Krankheitsfall zu gewährleisten. Für Lehrlinge gelten die gleichen Bedingungen wie für andere Arbeitnehmer. Im Falle einer Krankheit zahlt die Krankentaggeldversicherung in der Regel 80% des versicherten Lohns für eine bestimmte Anzahl von Tagen pro Jahr.",Ist die Krankentaggeldversicherung in der Schweiz gesetzlich vorgeschrieben?,"In der Schweiz ist die Krankentaggeldversicherung nicht gesetzlich vorgeschrieben, wird aber oft von Arbeitgebern angeboten, um Lohnfortzahlungen im Krankheitsfall zu gewährleisten.",Regel 720 Tage zu 80 Prozent).,0,4.0,"The response provided by the AI assistant is not very helpful or relevant to the user's question. The user asked if Krankentaggeldversicherung (daily sickness allowance insurance) is legally required in Switzerland, but the response only mentions a rule about 720 days at 80 percent, without any context or explanation. The answer does not address the question directly, and the level of detail is insufficient. The AI assistant should have provided a clear answer regarding the legal requirement of Krankentaggeldversicherung in Switzerland and possibly some additional information about the insurance itself."
In der Schweiz sind Änderungen der Arbeitszeit von Lehrlingen strikt geregelt. Eine Arbeitszeiterhöhung ist nur unter bestimmten Bedingungen und mit Zustimmung des Lehrlings oder seiner gesetzlichen Vertreter möglich.,Unter welchen Bedingungen ist eine Arbeitszeiterhöhung für Lehrlinge in der Schweiz möglich?,Eine Arbeitszeiterhöhung ist nur unter bestimmten Bedingungen und mit Zustimmung des Lehrlings oder seiner gesetzlichen Vertreter möglich.,Betriebs automatisch eingeschlossen.,0,3.0,"The response provided is not helpful, relevant, or detailed in answering the question about the conditions under which an increase in working hours for apprentices in Switzerland is possible. The response seems to be unrelated to the topic and does not provide any useful information."
"Überzeitarbeit Überzeit ist diejenige Arbeit, die in Überschreitung der wöchentlichen Höchstarbeitszeit geleistet wird. Art. 12 Abs. 1 ArG, Art. 25 Abs. 1 ArGV 1 Darf erst ab dem vollendeten 16. Altersjahr angeordnet werden. Art. 31 Abs. 3 ArG Überzeitarbeit ist nur im Rahmen des 9-Stunden-Tages möglich. Art. 31 Abs. 1 ArG Jugendliche dürfen während der beruflichen Grundbildung nicht zu Überzeitarbeit herangezogen werden, ausser wenn dies zur Behebung einer Betriebsstörung infolge höherer Gewalt unentbehrlich ist. Art. 17 Abs. 2 ArGV 5 Die Arbeitgebenden haben den Mitarbeitenden jeweils Gelegenheit zur Meinungsäusserung zu geben und diese nach Möglichkeit zu berücksichtigen. Überzeitarbeit Überzeit ist diejenige Arbeit, die in Überschreitung der wöchentlichen Höchstarbeitszeit geleistet wird. Art. 12 Abs. 1 ArG, Art. 25 Abs. 1 ArGV 1 Überzeit ist ausnahmsweise zulässig bei Dringlichkeit der Arbeit, für Inventare, Rechnungsabschlüsse, Liquidationsarbeiten, zur Vermeidung/Beseitigung von Betriebsstörungen, nur an Werktagen zwischen 6 und 23 Uhr. Die Überzeitarbeit darf für die einzelnen Arbeitnehmenden 2 Std. pro Tag nicht überschreiten und in Grossbetrieben mit 45-Stundenwoche insgesamt 170 Stunden im Kalenderjahr betragen. In Kleinbetrieben (1–4 Angestellte ohne Betriebsinhaber/in) mit 50-Stundenwoche darf sie 140 Stunden betragen. Art. 12 Abs. 2 ArG Lohnzuschlag gemäss Art. 13 ArG Die Arbeitgebenden haben den Mitarbeitenden jeweils Gelegenheit zur Meinungsäusserung zu geben und diese nach Möglichkeit zu berücksichtigen.",Dürfen Jugendliche während der beruflichen Grundbildung zu Überzeitarbeit herangezogen werden? ," Jugendliche dürfen während der beruflichen Grundbildung nicht zu Überzeitarbeit herangezogen werden, ausser wenn dies zur Behebung einer Betriebsstörung infolge höherer Gewalt unentbehrlich ist. ","sehr lange zulässige Ar-
beitszeiten.",0,4.0,"The response provided is not very helpful or relevant to the question asked. The question is about whether young people are allowed to work overtime during vocational training, and the response only mentions ""very long permissible working hours"" without directly addressing the issue of overtime or providing any specific information about regulations or guidelines. The answer lacks clarity and detail, making it difficult for the user to understand the actual situation regarding overtime work for young people in vocational training."
In der Schweiz ist die Arbeitszeit für Lehrlinge streng reguliert. Bei einer Überschreitung der gesetzlich festgelegten Höchstarbeitszeit können sowohl der Arbeitgeber als auch der Ausbilder mit Geldstrafen belegt werden.,"Was passiert, wenn die Höchstarbeitszeit für Lehrlinge in der Schweiz überschritten wird?",Bei einer Überschreitung der gesetzlich festgelegten Höchstarbeitszeit können sowohl der Arbeitgeber als auch der Ausbilder mit Geldstrafen belegt werden.,31 ArG).,0,3.0,"The response provided is not helpful, relevant, or detailed. It seems to be a reference to a legal article or code (31 ArG), but it does not explain what happens when the maximum working hours for apprentices in Switzerland are exceeded. The answer should have provided information on the consequences, regulations, or penalties related to exceeding the maximum working hours for apprentices in Switzerland."
"In der Schweiz haben Lehrlinge, die nachts arbeiten, in der Regel Anspruch auf eine Nachtzulage. Diese Zulage ist ein zusätzlicher Betrag, der zum regulären Lohn hinzukommt, um die Unannehmlichkeiten der Nachtarbeit auszugleichen. Die genaue Höhe der Nachtzulage kann variieren und hängt von verschiedenen Faktoren ab, einschließlich der spezifischen Branche und des Arbeitsvertrags des Lehrlings.",Haben Lehrlinge in der Schweiz Anspruch auf eine Nachtzulage?,"In der Schweiz haben Lehrlinge, die nachts arbeiten, in der Regel Anspruch auf eine Nachtzulage.","Die Aus-
gleichsruhezeit ist innerhalb eines Jahres zu gewähren.",0,4.0,"The response provided by the AI assistant is not directly related to the question asked. The user asked about the entitlement of apprentices in Switzerland to a night allowance, but the answer given is about compensatory rest time within a year. The response is somewhat relevant as it pertains to work regulations, but it does not address the specific issue of night allowance for apprentices. The level of detail is also minimal, as it does not provide any further information or context."
"Die lernende Person leistet Arbeit während ihrer beruflichen Grundbildung. Diese muss aber mit ihrem Beruf in Zusammenhang stehen und darf die Ausbildung nicht behindern (OR Art. 345a). Vielmehr sollte die Regel sein, dass auch die produktive Arbeit zum Ausbildungsfortschritt beiträgt. Zur Vermittlung der grundlegenden Fertigkeiten des Berufs haben die Organisationen der Arbeitswelt (OdA) überbetriebliche Kurse üK durchzuführen. Der überbetriebliche Kurs gehört vor allem zum berufspraktischen Teil der Ausbildung. In BBV Art. 21 ist festgehalten, dass die Kantone die Organisationen der Arbeitswelt bei der Bildung von Trägerschaften für die Kurse zu unterstützen haben. Der Besuch der Kurse ist obligatorisch, sofern die lernende Person nicht auf Grund einer Bewilligung der kantonalen Behörde vom Besuch befreit ist, weil sie die Ausbildung in einem betrieblichen Ausbildungszentrum oder in einer Lehrwerkstätte besucht. Der Lehrbetrieb hat alle mit dem Besuch der überbetrieblichen Kurse anfallenden Kosten zu tragen (BBV Art. 21 Abs. 3). Die Kurse dürfen nicht zu Lasten der schulischen Bildung an der Berufsfachschule gehen. Es sind organisatorische Lösungen zu finden, die eine vernünftige Kursdurchführung ohne Einschränkung der schulischen Bildung erlauben. Die lernende Person und ihre gesetzliche Vertretung haben natürlich auch Pflichten. So hat die lernende Person alles zur Erreichung des Lehrziels zu tun (OR Art. 345). Dabei hat sie die Anordnungen des Berufsbildners oder der Berufsbildnerin zu befolgen und das Geschäftsgeheimnis zu wahren. Das BBG bringt den Parteien des Lehrvertrags zusätzliche Pflichten. So sind bei Schwierigkeiten immer die kantonale Behörde und die Berufsfachschule zu benachrichtigen. Für Forderungen, die sich aus Vertragsverletzungen ergeben können, gelten die Regeln des Zivilrechts und des Zivilverfahrens.",Wer trägt die Kosten für den Besuch der überbetrieblichen Kurse? , Der Lehrbetrieb hat alle mit dem Besuch der überbetrieblichen Kurse anfallenden Kosten zu tragen (BBV Art. 21 Abs. 3). ,Der Lehrbetrieb,0,9.0,"The answer provided is helpful, relevant, and concise. It directly addresses the question about who bears the costs for attending überbetriebliche Kurse (inter-company courses) by stating that the Lehrbetrieb (training company) is responsible for the costs. However, it could have provided a bit more detail or context to make it a perfect answer."
"Das schweizerische Arbeitsgesetz schützt die Rechte der Lehrlinge, indem es ihre Schulzeit als Arbeitszeit anerkennt. Dies bedeutet, dass die Arbeitszeit an einem Schultag, einschließlich der Schulzeit, 9 Stunden nicht überschreiten darf.",Wie viele Stunden dürfen Lehrlinge in der Schweiz an einem Schultag maximal arbeiten?,"Das schweizerische Arbeitsgesetz schützt die Rechte der Lehrlinge, indem es ihre Schulzeit als Arbeitszeit anerkennt. Dies bedeutet, dass die Arbeitszeit an einem Schultag, einschließlich der Schulzeit, 9 Stunden nicht überschreiten darf.",acht Stunden pro Tag,0,9.0,"The answer provided is helpful, relevant, and directly addresses the question. It gives a clear and concise response, stating the maximum number of hours Lehrlinge (apprentices) in Switzerland can work on a school day. However, it could have been slightly more detailed by mentioning any exceptions or specific regulations that might apply to different situations or age groups."
"Wie geht der Lehrbetrieb bei einer Lehrvertragsauflösung vor? • Teilen Sie die geplante Lehrvertragsauflösung der lernenden Person (falls noch nicht 18-jährig inkl. gesetzliche Vertretung) bei einem Gespräch mit und erklären Sie, weshalb es zur Auflösung kommt. • Verfassen Sie die Lehrvertragsauflösung schriftlich unter Angabe des Grundes und des Auflösungstermins. Das Berufsbildungsamt stelle in der Regel ein entsprechendes Formular auf Anfrage zur Verfügung. • Falls keine Einigung über die Vertragsauflösung oder das Datum möglich ist, kann das Berufsbildungsamt beigezogen werden. • Erklären Sie beim Gespräch, dass die Berufsfachschule weiterhin besucht werden kann, falls die lernende Person eine neue Lehrstelle im gleichen Beruf sucht. • Melden Sie die lernende Person vom bevorstehenden üK ab. Informieren Sie darüber, dass per Auflösungsdatum der üK-Besuch endet und nach Rücksprache mit dem Berufsbildungsamt über den weiteren Besuch entschieden wird. • Ohne gültigen Lehrvertrag ist die Teilnahme am Qualifikationsverfahren grundsätzlich nicht möglich. Auskunft gibt das Berufsbildungsamt. • Empfehlen Sie der lernenden Person, sich mit dem Berufsbildungsamt in Verbindung zu setzen für die Beratung bezüglich des weiteren Vorgehens. • Verfassen Sie ein Lehrzeugnis bzw. eine Arbeitsbestätigung. (OR 346a) • Erstellen Sie eine Schlussabrechnung unter Einbezug allfälliger positiver oder negativer Stundensaldi und Ferienrestguthaben. • Melden Sie die lernende Person vom Berufsfachschulunterricht ab, falls die lernende Person die Schule nicht weiter besuchen will/kann und/oder die lernende Person die Ausbildung im Beruf nicht weiterverfolgen möchte. • Informieren Sie das Berufsbildungsamt umgehend schriftlich über die Auflösung (Kopie des Auflösungsbriefs mit Unterschriften).",Wie sollte die Lehrvertragsauflösung verfasst werden? , Verfassen Sie die Lehrvertragsauflösung schriftlich unter Angabe des Grundes und des Auflösungstermins. ,Angabe des Grundes und des Auflösungstermins.,1,7.5,"The response is helpful and relevant as it provides the essential elements of a Lehrvertragsauflösung, which are the reason for termination and the date of termination. However, the level of detail is limited, and it would be more helpful if the answer included information about the format, any necessary documentation, or steps to follow in the process."
"In der Schweiz ist es gesetzlich geregelt, dass Arbeitgeber, einschließlich Lehrbetriebe, verpflichtet sind, den Lohn eines Lehrlings während einer bestimmten Zeit im Krankheitsfall weiterzuzahlen. Dies wird als Lohnfortzahlung bezeichnet. Die genaue Dauer der Lohnfortzahlung kann je nach Dauer des Arbeitsverhältnisses und kantonalem Recht variieren. Es ist wichtig zu beachten, dass der Arbeitgeber das Recht hat, einen Nachweis über die Krankheit, wie zum Beispiel ein ärztliches Attest, zu verlangen.",Kann der Lehrbetrieb einen Nachweis über die Krankheit verlangen?,"Es ist wichtig zu beachten, dass der Arbeitgeber das Recht hat, einen Nachweis über die Krankheit, wie zum Beispiel ein ärztliches Attest, zu verlangen.","16.06.2017  
Beruf  Logisitiker /Distribution",0,3.0,"The response provided is not helpful or relevant to the question asked. The user asked if an employer can request proof of illness, but the answer given is a date and a job title, which does not address the question at all."
"Form des Vertrags Im Gegensatz zum normalen Arbeitsvertrag bedarf der Lehrvertrag zu seiner Gültigkeit der schriftlichen Form. Folgende Abmachungen müssen im Vertrag enthalten sein: • Art und Dauer der Ausbildung, • der Lohn, • die Probezeit, • die Arbeitszeit und • die Ferien.",In welcher Form muss ein Lehrvertrag abgeschlossen werden? , Der Lehrvertrag bedarf zu seiner Gültigkeit der schriftlichen Form. ,ein so genannter Praktikumsvertrag,0,5.0,"The answer provided is not entirely accurate and lacks detail. The correct term should be ""Lehrvertrag"" instead of ""Praktikumsvertrag."" Additionally, the response does not address the required form for the contract. A more helpful answer would have mentioned that a Lehrvertrag must be in written form and include specific information about the apprenticeship, such as duration, responsibilities, and compensation."
"In der Schweiz erlaubt das Arbeitsgesetz die vorzeitige Auflösung eines Ausbildungsvertrags, wenn beide Parteien zustimmen und dies schriftlich festhalten. Eine rechtliche Beratung ist jedoch zu empfehlen, um alle Rechte und Pflichten zu verstehen.",Unter welchen Bedingungen kann ein Ausbildungsvertrag in der Schweiz vorzeitig aufgelöst werden?,"In der Schweiz erlaubt das Arbeitsgesetz die vorzeitige Auflösung eines Ausbildungsvertrags, wenn beide Parteien zustimmen und dies schriftlich festhalten. Eine rechtliche Beratung ist jedoch zu empfehlen, um alle Rechte und Pflichten zu verstehen.",Voraussetzung ist das gegenseitige Einvernehmen.,1,7.5,"The answer provided is somewhat helpful and relevant, as it mentions the mutual agreement as a condition for the early termination of an apprenticeship contract in Switzerland. However, the response lacks detail and does not cover other possible conditions or scenarios that might lead to the early termination of the contract. To improve the answer, it would be beneficial to include more information about the legal framework, specific conditions, and the process involved in terminating an apprenticeship contract in Switzerland."
"Das schweizerische Arbeitsgesetz besagt, dass Lehrlinge, die an einem Samstag arbeiten, einen anderen Tag in der Woche frei haben müssen. Zudem darf die tägliche Arbeitszeit von 9 Stunden nicht überschritten werden.",Wie lange dürfen Lehrlinge in der Schweiz an einem Samstag arbeiten?,"Das schweizerische Arbeitsgesetz besagt, dass Lehrlinge, die an einem Samstag arbeiten, einen anderen Tag in der Woche frei haben müssen. Zudem darf die tägliche Arbeitszeit von 9 Stunden nicht überschritten werden.",dem Lehrvertrag entsprich t.,0,3.0,"The response provided is incomplete and does not directly answer the question about how long apprentices in Switzerland can work on a Saturday. The answer seems to refer to a contract, but it does not provide any information about the specific hours or regulations for working on a Saturday. The response could be improved by providing the relevant information and addressing the question directly."
